   ID        Имя     Фамилия Дата рождения  Телефон
0  01       Иван      Петров    17.08.2000  2837865
1  02     Сергей       Бойко    04.05.2001  2378495
2  03  Екатерина  Литовченко    01.04.1999  0958475
3  04      Ольга     Мессинг    23.02.2002  9485736
4  05      Мария   Пастернак    08.03.2004  3095748
   ID        Имя     Фамилия Дата рождения  Телефон
0  01       Иван      Петров    17.08.2000  2837865
1  02     Сергей       Бойко    04.05.2001  2378495
2  03  Екатерина  Литовченко    01.04.1999  0958475
3  04      Ольга     Мессинг    23.02.2002  9485736
4  05      Мария   Пастернак    08.03.2004  3095748
   ID        Имя     Фамилия Дата рождения  Телефон
0  01       Иван      Петров    17.08.2000  2837865
1  02     Сергей       Бойко    04.05.2001  2378495
2  03  Екатерина  Литовченко    01.04.1999  0958475
3  04      Ольга     Мессинг    23.02.2002  9485736
4  05      Мария   Пастернак    08.03.2004  3095748
